Entity,Code,Year,population_clean_fuels_and_technologies_for_cooking
Afghanistan,AFG,2020,33.2
Africa,,2020,19.85291
Albania,ALB,2020,81.3
Algeria,DZA,2020,99.7
Americas,,2020,92.50037
Andorra,AND,2020,100
Angola,AGO,2020,50.2
Antigua and Barbuda,ATG,2020,100
Argentina,ARG,2020,99.9
Armenia,ARM,2020,98.1
Australia,AUS,2020,100
Austria,AUT,2020,100
Azerbaijan,AZE,2020,96.8
Bahamas,BHS,2020,100
Bahrain,BHR,2020,100
Bangladesh,BGD,2020,25
Barbados,BRB,2020,100
Belarus,BLR,2020,99.6
Belgium,BEL,2020,100
Belize,BLZ,2020,82.1
Benin,BEN,2020,4
Bhutan,BTN,2020,80.2
Bolivia,BOL,2020,86.1
Bosnia and Herzegovina,BIH,2020,45.2
Botswana,BWA,2020,64.7
Brazil,BRA,2020,95.9
Brunei,BRN,2020,100
Burkina Faso,BFA,2020,10.6
Burundi,BDI,2020,0.2
Cambodia,KHM,2020,36.8
Cameroon,CMR,2020,21.9
Canada,CAN,2020,100
Cape Verde,CPV,2020,81
Central African Republic,CAF,2020,0.8
Chad,TCD,2020,6.8
Chile,CHL,2020,100
China,CHN,2020,79.4
Colombia,COL,2020,93.2
Comoros,COM,2020,8.4
Congo,COG,2020,34.9
Cook Islands,COK,2020,76.2
Costa Rica,CRI,2020,95.7
Cote d'Ivoire,CIV,2020,31.8
Croatia,HRV,2020,100
Cuba,CUB,2020,93.8
Cyprus,CYP,2020,100
Czechia,CZE,2020,100
Democratic Republic of Congo,COD,2020,3.7
Denmark,DNK,2020,100
Djibouti,DJI,2020,9.65
Dominica,DMA,2020,88.9
Dominican Republic,DOM,2020,91.5
Eastern Mediterranean,,2020,73.18355
Ecuador,ECU,2020,94.3
Egypt,EGY,2020,99.9
El Salvador,SLV,2020,91.8
Equatorial Guinea,GNQ,2020,24.5
Eritrea,ERI,2020,9.3
Estonia,EST,2020,100
Eswatini,SWZ,2020,55.4
Ethiopia,ETH,2020,7.8
Europe,,2020,94.79653
Fiji,FJI,2020,51.4
Finland,FIN,2020,100
France,FRA,2020,100
Gabon,GAB,2020,88.1
Gambia,GMB,2020,1.7
Georgia,GEO,2020,89.1
Germany,DEU,2020,100
Ghana,GHA,2020,22.2
Greece,GRC,2020,100
Grenada,GRD,2020,89.1
Guatemala,GTM,2020,50.1
Guinea,GIN,2020,1.9
Guinea-Bissau,GNB,2020,1.1
Guyana,GUY,2020,80.6
Haiti,HTI,2020,4.5
Honduras,HND,2020,48.3
Hungary,HUN,2020,100
Iceland,ISL,2020,100
India,IND,2020,67.9
Indonesia,IDN,2020,84.5
Iran,IRN,2020,96.1
Iraq,IRQ,2020,99
Ireland,IRL,2020,100
Israel,ISR,2020,100
Italy,ITA,2020,100
Jamaica,JAM,2020,82.7
Japan,JPN,2020,100
Jordan,JOR,2020,99.9
Kazakhstan,KAZ,2020,92.7
Kenya,KEN,2020,19.5
Kiribati,KIR,2020,9.9
