Country,Deaths_All_Ages_2000,Deaths_All_Ages_2019,,,Population,Continent
Afghanistan,47132,28168,,,38928341,Asia
Albania,3514,656085,,,2877800,Europe
Algeria,2912,724,,,43851043,Africa
Andorra,2008,66,,,77265,Europe
Angola,2000,6,,,32866268,Africa
Antigua and Barbuda,21934,0,,,97928,North America
Argentina,2001,8726,,,45195777,South America
Armenia,4097,0,,,2963234,Europe
Australia,2892,708,,,25499881,Oceania
Austria,2056,78,,,9006400,Europe
Azerbaijan,2026,13,,,10139175,Europe
Bahamas,5253,9,,,393248,North America
Bahrain,2005,666,,,1701583,Asia
Bangladesh,2008,2,,,164689383,Asia
Barbados,131080,2,,,287371,North America
Belarus,2000,94789,,,9449321,Europe
Belgium,2664,0,,,11589616,Europe
Belize,2022,96,,,397621,North America
Benin,2046,6,,,12123198,Africa
Bhutan,11293,30,,,771612,Asia
Bolivia,2003,9891,,,11673029,South America
Bosnia and Herzegovina,2640,1,,,3280815,Europe
Botswana,5480,352,,,2351625,Africa
Brazil,4255,2276,,,212559409,South America
Brunei,3116,1148,,,437479,Asia
Bulgaria,34815,636,,,6948445,Europe
Burkina Faso,2002,14016,,,20903278,Africa
Burma,5486,1,,,54409800,Asia
Burundi,21908,1812,,,11890781,Africa
Cabo Verde,11368,24303,,,548800,Africa
Cambodia,20037,10004,,,16718971,Asia
Cameroon,15507,14034,,,26545864,Africa
Canada,2070,12068,,,37742157,North America
Central African Republic,2253,8,,,4829764,Africa
Chad,8710,99,,,16425859,Africa
Chile,18742,6961,,,19116209,South America
China,2942,19066,,,1439323774,Asia
Colombia,969080,330,,,50882884,South America
Comoros,7854,363029,,,869595,Africa
Congo,2734,2454,,,5518092,Africa
Costa Rica,4780,552,,,5094114,North America
Croatia,2002,1638,,,4105268,Europe
Cuba,2231,1,,,11326616,North America
Cyprus,22455,104,,,875899,Europe
Czechia,2502,16262,,,10708982,Europe
Denmark,2519,169,,,5792203,Europe
Djibouti,2003,200,,,988002,Africa
Dominica,2180,1,,,71991,North America
Dominican Republic,70753,80,,,10847904,North America
Ecuador,2006,58038,,,17643060,South America
Egypt,2357,2,,,102334403,Africa
El Salvador,2014,201,,,6486201,North America
Equatorial Guinea,3918,4,,,1402985,Africa
Eritrea,3183,939,,,3546427,Africa
Estonia,3637,640576,,,1326539,Europe
Eswatini,3877,195047,,,1160164,Africa
Ethiopia,2028,476,,,114963583,Africa
Fiji,2599,73,,,896444,Oceania
Finland,6036,618,,,5540718,Europe
France,2212,9,,,65273512,Europe
Gabon,2753,84,,,2225728,Africa
Gambia,114716,3936,,,2416664,Africa
Georgia,2464,40,,,3989175,Europe
Germany,2010,482,,,83783945,Europe
Ghana,2108,67827,,,31072945,Africa
Greece,2158000,30208,,,10423056,Europe
Grenada,2486,30746,,,112519,North America
Guatemala,3397,302,,,17915567,North America
Guinea,6587,2,,,13132792,Africa
Guinea-Bissau,2069,37,,,1874000,Africa
Guyana,16567,1088390,,,786559,South America
Haiti,2126,69,,,11402533,North America
Honduras,2002,1493,,,9904608,North America
Hungary,2008,1594,,,9660350,Europe
Iceland,2003,30,,,341250,Europe
India,9459,11065,,,1380004385,Asia
Indonesia,17979,41,,,273523621,Asia
